Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf1a,VerifyBFDPeersHealth,success,,Verifies the health of IPv4 BFD peers across all VRFs.,BFD
dc1-leaf1a,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-leaf1a,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -1,4 +1,4 @@
-! device: sw-172.20.1.4 (cEOSLab, EOS-4.33.2F-40713977.4332F (engineering build))
+! device: dc1-leaf1a (cEOSLab, EOS-4.33.2F-40713977.4332F (engineering build))
 !
 no aaa root
 !
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf1a,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-leaf1a,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-leaf1a,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf1a,VerifyReachability,success,,Verifies reachability to IPv4 BGP neighbors with an update source configured.,Connectivity
dc1-leaf1a,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
dc1-leaf1a,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
dc1-leaf1a,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
dc1-leaf1a,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in all port channels.,Interfaces
dc1-leaf1a,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 717,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf1a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-leaf1a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc1-leaf1a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc1-leaf1a,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1a,VerifyPortChannels,success,,Verifies there are no inactive ports in all port channels.,Interfaces
dc1-leaf1a,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
dc1-leaf1a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jun 22 09:32:30 leaf1a NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system
 Jun 22 09:39:51 sw-172 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=885) -- Master ProcMgr (PID=885) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf1a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-leaf1a,VerifyMlagReloadDelay,success,,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
dc1-leaf1a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc1-leaf1a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-leaf1a,VerifyTelnetStatus,success,,Verifies if Telnet is disabled in the default VRF.,Security
dc1-leaf1a,VerifySTPBlockedPorts,success,,Verifies there is no STP blocked ports.,STP
dc1-leaf1a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-leaf1a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-leaf1a,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-leaf1a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-leaf1a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-leaf1a,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc1-leaf1a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-leaf1b,VerifyBFDPeersHealth,success,,Verifies the health of IPv4 BFD peers across all VRFs.,BFD
dc1-leaf1b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
